imo,name_owner_builder_raw,capacity_cm,cargo_type,vessel_type,propulsion_type,delivery_year
9443401,Aamira Nakilat Samsung,266000,Membrane,Q-Max,SSD,2010
9501186,Adam LNG Asyad Shipping HD Hyundai,162000,Membrane,Conventional,DFDE,2014
9879698,Adamastos Capital Gas HD Hyundai,174000,Membrane,Conventional,X-DF,2021
9831220,Adriano Knutsen Knutsen OAS HD Hyundai,180000,Membrane,Conventional,ME-GI,2019
9958286,Aktoras Capital Gas HD Hyundai,174000,Membrane,Conventional,ME-GA,2024
9338266,"Al Aamriya NYK Line, K Line, MOL, lino, Mitsui, Nakilat Hanwha Ocean",216200,Membrane,Q-Flex,SSD,2008
9325697,Al Areesh Seapeak Hanwha Ocean,151700,Membrane,Conventional,Steam,2007
9431147,Al Bahiya Nakilat Hanwha Ocean,210100,Membrane,Q-Flex,SSD,2010
9132741,Al Bidda J4 Consortium Kawasaki,137300,Spherical,Conventional,Steam,1999
9325702,Al Daayen Seapeak Hanwha Ocean,151700,Membrane,Conventional,Steam,2007
9443683,Al Dafna Nakilat Samsung,266400,Membrane,Q-Max,SSD,2009
9307176,"Al Deebel MOL, NYK Line, K Line Samsung",145700,Membrane,Conventional,Steam,2005
9337705,"Al Gattara Nakilat, Asyad Shipping HD Hyundai",216200,Membrane,Q-Flex,SSD,2007
9337987,"Al Ghariya Commerz Real, Nakilat, PRONAV Hanwha Ocean",210200,Membrane,Q-Flex,SSD,2008
9337717,"Al Gharrafa Nakilat, Asyad Shipping HD Hyundai",216200,Membrane,Q-Flex,SSD,2008
9397286,Al Ghashamiya Nakilat Samsung,217600,Membrane,Q-Flex,SSD,2009
9372743,Al Ghuwairiya Nakilat Hanwha Ocean,263300,Membrane,Q-Max,SSD,2008
9337743,"Al Hamla Nakilat, Asyad Shipping Samsung",216200,Membrane,Q-Flex,SSD,2008
9074640,Al Hamra National Gas Shipping Co Kvaerner Masa,135000,Spherical,Conventional,Steam,1997
9360879,"Al Huwaila Nakilat, Seapeak Samsung",217000,Membrane,Q-Flex,SSD,2008
9132791,Al Jasra J4 Consortium Mitsubishi,137200,Spherical,Conventional,Steam,2000
9324435,"Al Jassasiya Maran Gas Maritime, Nakilat Hanwha Ocean",145700,Membrane,Conventional,Steam,2007
9431123,Al Karaana Nakilat Hanwha Ocean,210100,Membrane,Q-Flex,SSD,2009
9397327,Al Kharaitiyat Nakilat HD Hyundai,216300,Membrane,Q-Flex,SSD,2009
9360881,"Al Kharsaah Nakilat, Seapeak Samsung",217000,Membrane,Q-Flex,SSD,2008
9431111,Al Khattiya Nakilat Hanwha Ocean,210200,Membrane,Q-Flex,SSD,2009
9038440,Al Khaznah National Gas Shipping Co Mitsui,135000,Spherical,Conventional,Steam,1994
9085613,Al Khor J4 Consortium Mitsubishi,137400,Spherical,Conventional,Steam,1996
9360908,"Al Khuwair Nakilat, Seapeak Samsung",217000,Membrane,Q-Flex,SSD,2008
9397315,Al Mafyar Nakilat Samsung,266400,Membrane,Q-Max,SSD,2009
9325685,"Al Marrouna Nakilat, Seapeak Hanwha Ocean",152600,Membrane,Conventional,Steam,2006
9397298,Al Mayeda Nakilat Samsung,266000,Membrane,Q-Max,SSD,2009
9431135,Al Nuaman Nakilat Hanwha Ocean,210100,Membrane,Q-Flex,SSD,2009
9360790,"Al Oraiq NYK Line, K Line, MOL, lino, Mitsui, Nakilat Hanwha Ocean",210200,Membrane,Q-Flex,SSD,2008
